,price,review_scores_value,room_type,instant_bookable,host_identity_verified,number_of_reviews,beds,bath,bedrooms,reviews_per_month,neighbourhood_cleansed,property_type,availability_30,availability_60,availability_90,availability_365,profit_per_bed
2804,22.19482120838471,4.9,Private room,f,f,29,1.0,1  ,1.0,0.59,Providencia,Private room in residential home,24,54,84,174,22.19482120838471
2805,43.15659679408138,4.78,Entire home/apt,t,t,45,1.0,1 ,1.0,0.94,Santiago,Entire rental unit,0,0,4,279,43.15659679408138
2806,15.09494451294698,5.0,Entire home/apt,t,t,3,1.0,1 ,1.0,0.27,Santiago,Entire rental unit,0,0,0,208,15.09494451294698
2807,18.127003699136868,4.69,Entire home/apt,t,t,17,2.0,1 ,,0.6,Santiago,Entire rental unit,0,0,0,0,9.063501849568434
2808,43.15659679408138,4.74,Entire home/apt,f,t,87,4.0,2 ,2.0,1.71,Providencia,Entire rental unit,0,0,0,17,10.789149198520345
2809,122.07151664611592,4.29,Entire home/apt,t,t,8,5.0,1 ,1.0,0.16,Providencia,Entire rental unit,28,58,65,65,24.414303329223184
2810,110.97410604192356,4.4,Entire home/apt,t,t,46,3.0,2 ,2.0,0.91,Las Condes,Entire rental unit,25,55,62,285,36.99136868064119
2811,57.644882860665845,4.73,Entire home/apt,t,t,94,3.0,1.5 ,2.0,1.84,Las Condes,Entire rental unit,0,4,4,171,19.21496095355528
2812,73.98273736128236,4.26,Entire home/apt,f,t,19,2.0,1 ,1.0,0.4,Las Condes,Entire rental unit,23,53,83,358,36.99136868064118
2813,18.49568434032059,5.0,Private room,f,f,2,1.0,1  ,1.0,0.04,Macul,Private room in guest suite,29,59,89,179,18.49568434032059
2814,48.08877928483354,,Private room,t,f,1,1.0,1  ,1.0,0.02,Providencia,Private room in hostel,30,60,90,365,48.08877928483354
2815,10.166461159062884,4.69,Private room,t,f,14,1.0,1  ,1.0,0.29,Santiago,Private room in hostel,14,44,74,349,10.166461159062884
2816,447.49938347718864,4.44,Entire home/apt,f,t,9,10.0,2 ,4.0,0.18,Lo Barnechea,Entire rental unit,30,60,90,364,44.74993834771887
2817,66.11467324290999,,Entire home/apt,f,f,0,3.0,1 ,2.0,,Santiago,Entire rental unit,30,60,90,180,22.03822441430333
2818,43.15659679408138,4.85,Entire home/apt,t,f,62,3.0,1 ,2.0,1.21,Santiago,Entire rental unit,0,0,23,298,14.385532264693794
2819,43.15659679408138,4.85,Entire home/apt,f,f,130,2.0,2 ,2.0,2.57,Santiago,Entire rental unit,0,0,0,172,21.57829839704069
2820,234.2786683107275,5.0,Entire home/apt,f,t,2,8.0,2 ,3.0,0.04,Lo Barnechea,Entire rental unit,0,0,0,0,29.28483353884094
2821,184.9568434032059,5.0,Entire home/apt,t,t,2,4.0,2 ,2.0,0.05,Providencia,Entire rental unit,6,21,51,51,46.23921085080148
2822,13.563501849568434,4.45,Private room,t,f,29,1.0,1  ,1.0,0.57,Providencia,Private room in rental unit,1,1,24,114,13.563501849568434
2823,51.711467324291,,Private room,f,t,0,1.0,1  ,1.0,,Las Condes,Private room in rental unit,27,57,87,177,51.711467324291
2824,13.378545006165227,4.65,Private room,t,f,35,1.0,1 ,1.0,0.69,Providencia,Private room in rental unit,0,0,23,113,13.378545006165227
2825,13.070283600493218,4.96,Private room,t,f,24,1.0,1  ,1.0,0.5,Providencia,Private room in rental unit,0,0,23,113,13.070283600493218
2826,49.32182490752158,,Entire home/apt,t,f,0,1.0,1 ,1.0,,Vitacura,Entire rental unit,30,60,90,364,49.32182490752158
2827,13.916152897657213,,Private room,f,f,0,1.0,1  ,1.0,,Santiago,Private room in rental unit,30,60,90,365,13.916152897657213
2828,67.81750924784217,,Entire home/apt,t,f,0,1.0,1 ,1.0,,Las Condes,Entire rental unit,30,60,90,365,67.81750924784217
2829,33.292231812577064,5.0,Private room,f,t,5,1.0,1  ,1.0,0.1,Peñalolén,Private room in cottage,29,59,89,179,33.292231812577064
2830,73.98273736128236,4.65,Entire home/apt,f,t,49,3.0,2 ,2.0,0.98,Las Condes,Entire rental unit,0,0,0,0,24.660912453760787
2831,29.83353884093712,5.0,Private room,f,t,1,1.0,1  ,1.0,0.03,Ñuñoa,Private room in townhouse,29,59,89,364,29.83353884093712
2832,61.65228113440197,4.71,Entire home/apt,f,t,17,4.0,2 ,2.0,0.39,Las Condes,Entire rental unit,0,1,1,1,15.413070283600492
2833,30.826140567200987,,Private room,t,t,0,1.0,1  ,1.0,,Santiago,Private room in rental unit,29,59,89,179,30.826140567200987
2834,46.98150431565968,,Entire home/apt,t,f,0,1.0,1 ,1.0,,Santiago,Entire rental unit,0,0,0,0,46.98150431565968
2835,18.49568434032059,,Private room,f,t,0,1.0,1  ,1.0,,Ñuñoa,Private room in rental unit,28,58,88,363,18.49568434032059
2836,11.097410604192357,5.0,Private room,f,f,23,3.0,1  ,2.0,0.46,Peñalolén,Private room in residential home,0,0,0,0,3.699136868064119
2837,43.15659679408138,4.52,Entire home/apt,f,f,34,1.0,1.5 ,1.0,0.69,Providencia,Entire rental unit,0,0,0,240,43.15659679408138
2838,646.387176325524,5.0,Entire home/apt,f,f,1,1.0,3 ,4.0,0.04,Lo Barnechea,Entire chalet,24,54,83,83,646.387176325524
2839,11.960542540073982,4.93,Private room,t,t,30,1.0,1  ,1.0,0.62,Santiago,Private room in rental unit,0,0,0,178,11.960542540073982
2840,30.209617755856968,4.76,Entire home/apt,f,f,34,2.0,1 ,2.0,0.68,Santiago,Entire rental unit,10,40,70,160,15.104808877928484
2841,24.66091245376079,5.0,Entire home/apt,t,t,2,1.0,1 ,1.0,0.32,Quinta Normal,Entire rental unit,0,0,24,299,24.66091245376079
2842,39.39580764488286,4.88,Entire home/apt,t,f,124,2.0,1 ,1.0,2.45,Las Condes,Entire rental unit,0,0,0,0,19.69790382244143
2843,25.109741060419235,5.0,Private room,f,t,53,1.0,1  ,1.0,1.28,Providencia,Private room in rental unit,27,57,87,87,25.109741060419235
2844,26.23181257706535,,Entire home/apt,t,t,0,2.0,2 ,2.0,,Ñuñoa,Entire rental unit,30,60,90,180,13.115906288532676
2845,71.51664611590628,4.75,Entire home/apt,f,t,56,4.0,1.5 ,2.0,1.13,Providencia,Entire rental unit,14,44,74,349,17.87916152897657
2846,39.45745992601727,4.61,Entire home/apt,t,t,69,1.0,1 ,1.0,1.39,Santiago,Entire condominium (condo),23,53,83,358,39.45745992601727
